# High E guitar string sampling at  4096 samples/sec
# time[s], waveform1, waveform2, waveform3, waveform4
3.4668e-02 5.2000e+01 -4.5000e+01 1.1800e+02 1.2900e+02
3.4912e-02 -6.3000e+01 -2.1100e+02 6.0000e+00 -1.2000e+01
3.5156e-02 5.5000e+01 -4.4500e+02 2.2600e+02 -1.7900e+02
3.5400e-02 4.2800e+02 -3.3400e+02 -2.5500e+02 -1.9800e+02
3.5645e-02 4.7400e+02 1.3900e+02 -3.0500e+02 -1.2900e+02
3.5889e-02 3.7100e+02 5.5200e+02 1.5700e+02 -1.5500e+02
3.6133e-02 8.7000e+01 5.1900e+02 3.3000e+01 7.7000e+01
3.6377e-02 3.1000e+01 3.7400e+02 -4.0700e+02 2.5000e+02
3.6621e-02 5.4000e+01 1.4100e+02 -2.0200e+02 4.1000e+01
3.6865e-02 -3.7200e+02 -1.5000e+01 4.4500e+02 1.1700e+02
3.7109e-02 -5.3600e+02 -2.1800e+02 2.4000e+01 1.0500e+02
3.7354e-02 -4.3900e+02 -2.3600e+02 -1.1800e+02 -6.2000e+01
3.7598e-02 -1.3700e+02 -1.2700e+02 4.1500e+02 6.9000e+01
3.7842e-02 8.2000e+01 -5.8000e+01 2.8000e+01 1.0200e+02
3.8086e-02 -5.9000e+01 -3.1000e+02 9.1000e+01 -5.1000e+01
3.8330e-02 1.6200e+02 -4.7600e+02 1.8500e+02 -2.1800e+02
3.8574e-02 4.7200e+02 -2.9100e+02 -3.3400e+02 -1.8100e+02
3.8818e-02 4.5000e+02 2.3400e+02 -1.7400e+02 -1.5600e+02
3.9062e-02 3.1000e+02 5.4000e+02 2.1300e+02 -1.3900e+02
3.9307e-02 4.5000e+01 4.7200e+02 -7.4000e+01 1.3600e+02
3.9551e-02 5.4000e+01 2.9900e+02 -4.3400e+02 2.1800e+02
3.9795e-02 -1.9000e+01 7.6000e+01 -3.0000e+01 2.2000e+01
4.0039e-02 -4.7200e+02 -9.1000e+01 4.5300e+02 1.4400e+02
4.0283e-02 -5.2100e+02 -2.7400e+02 -1.3200e+02 6.9000e+01
4.0527e-02 -3.9500e+02 -2.3800e+02 -5.0000e+00 -6.9000e+01
4.0771e-02 -5.7000e+01 -1.1100e+02 3.6600e+02 1.1600e+02
4.1016e-02 5.4000e+01 -6.8000e+01 -6.9000e+01 6.5000e+01
4.1260e-02 -7.1000e+01 -3.6600e+02 1.3700e+02 -8.3000e+01
4.1504e-02 2.3500e+02 -4.4900e+02 5.8000e+01 -2.2300e+02
4.1748e-02 4.6500e+02 -1.8200e+02 -4.1100e+02 -1.4300e+02
4.1992e-02 3.9400e+02 3.7000e+02 -7.1000e+01 -1.4500e+02
4.2236e-02 2.2200e+02 5.6300e+02 1.7800e+02 -6.7000e+01
4.2480e-02 2.0000e+00 4.6800e+02 -2.2200e+02 2.1500e+02
4.2725e-02 5.4000e+01 2.7500e+02 -4.3000e+02 1.9600e+02
4.2969e-02 -1.2300e+02 6.5000e+01 1.3800e+02 4.9000e+01
4.3213e-02 -5.4100e+02 -1.1300e+02 3.9600e+02 1.6500e+02
4.3457e-02 -4.8600e+02 -2.8200e+02 -2.1000e+02 2.4000e+01
4.3701e-02 -3.1800e+02 -1.9300e+02 1.7100e+02 -6.7000e+01
4.3945e-02 2.4000e+01 -7.0000e+01 3.2000e+02 1.2300e+02
4.4189e-02 3.0000e+01 -9.6000e+01 -7.0000e+01 2.0000e+00
4.4434e-02 -2.2000e+01 -4.1200e+02 2.0600e+02 -1.3800e+02
4.4678e-02 3.4300e+02 -4.2400e+02 -5.9000e+01 -2.3100e+02
4.4922e-02 4.8000e+02 -1.0000e+02 -4.0000e+02 -1.3400e+02
4.5166e-02 3.8300e+02 4.3900e+02 5.6000e+01 -1.5400e+02
4.5410e-02 1.7500e+02 5.3900e+02 1.2900e+02 -1.4000e+01
4.5654e-02 9.0000e+00 4.3200e+02 -3.2800e+02 2.5100e+02
4.5898e-02 7.8000e+01 2.2700e+02 -3.5800e+02 1.3400e+02
4.6143e-02 -2.1300e+02 3.9000e+01 2.8700e+02 6.6000e+01
4.6387e-02 -5.5300e+02 -1.5800e+02 2.6200e+02 1.4800e+02
4.6631e-02 -4.3400e+02 -2.8500e+02 -2.4500e+02 -2.6000e+01
4.6875e-02 -2.3200e+02 -1.5700e+02 3.0000e+02 -3.1000e+01
4.7119e-02 7.3000e+01 -3.3000e+01 2.0900e+02 1.3400e+02
4.7363e-02 -1.5000e+01 -1.3700e+02 -5.7000e+01 -2.1000e+01
4.7607e-02 7.0000e+00 -4.2800e+02 2.0200e+02 -1.5700e+02
4.7852e-02 3.8000e+02 -3.5000e+02 -2.1800e+02 -1.9500e+02
4.8096e-02 4.1600e+02 4.7000e+01 -3.4500e+02 -1.1900e+02
4.8340e-02 3.0400e+02 5.2000e+02 1.5800e+02 -1.4100e+02
4.8584e-02 8.8000e+01 5.2500e+02 4.1000e+01 4.8000e+01
4.8828e-02 -1.1000e+01 4.0500e+02 -4.0300e+02 2.6100e+02
4.9072e-02 4.3000e+01 1.8100e+02 -2.3400e+02 7.8000e+01
